Symbol,Security Name,Price,Change %,Volume,Rel Volume,Market Cap,P/E Ratio,EPS(TTM),EPS Growth,Div Yield,Sector,Analyst Rating
A,"Agilent Technologies, Inc.",108.53 USD,−1.05%,1.69 M,0.74,30.94 B USD,24.94,4.35 USD,+3.65%,0.89%,Health technology,Buy
AA,Alcoa Corporation,28.07 USD,+0.32%,5.3 M,0.74,7.27 B USD,8.31,3.38 USD,—,1.43%,Non-energy minerals,Buy
AACB,Artius II Acquisition Inc.,10.04 USD,0.00%,31.05 K,1.59,295.18 M USD,—,—,—,0.00%,Finance,—
AACT,Ares Acquisition Corporation II,11.29 USD,0.00%,349.37 K,0.49,698.4 M USD,31.24,0.36 USD,−3.08%,0.00%,Finance,—
AAL,"American Airlines Group, Inc.",11.19 USD,−1.84%,46.78 M,0.78,7.38 B USD,12.92,0.87 USD,+45.17%,0.00%,Transportation,Buy
AAM,AA Mission Acquisition Corp.,10.35 USD,−0.10%,100.09 K,3.47,544.4 M USD,49.22,0.21 USD,—,0.00%,Finance,—
AAME,Atlantic American Corporation,1.72 USD,+1.18%,7.11 K,0.78,35.08 M USD,—,−0.09 USD,−40.34%,1.16%,Finance,—
AAMI,Acadian Asset Management Inc.,29.23 USD,−0.75%,241.37 K,0.81,1.05 B USD,12.16,2.40 USD,+46.94%,0.14%,Finance,Neutral
AAOI,"Applied Optoelectronics, Inc.",17.88 USD,+1.53%,2.24 M,0.48,993.13 M USD,—,−3.87 USD,−111.11%,0.00%,Electronic technology,Buy
AAON,"AAON, Inc.",99.10 USD,−0.84%,291.99 K,0.62,8.06 B USD,52.06,1.90 USD,−11.55%,0.34%,Producer manufacturing,Buy
AAP,Advance Auto Parts Inc.,48.67 USD,−1.02%,9.53 M,1.86,2.92 B USD,—,−5.89 USD,−950.83%,2.05%,Retail trade,Neutral
AAPL,Apple Inc.,195.27 USD,−3.02%,78.43 M,1.58,2.92 T USD,30.47,6.41 USD,−0.36%,0.51%,Electronic technology,Buy
AARD,"Aardvark Therapeutics, Inc.",10.50 USD,+4.90%,22.05 K,0.36,227.81 M USD,—,−3.16 USD,—,0.00%,Health technology,Strong buy
AB,AllianceBernstein Holding L.P.,39.14 USD,+0.77%,193.84 K,0.81,4.33 B USD,10.56,3.71 USD,+53.17%,8.33%,Finance,Buy
ABAT,American Battery Technology Company,1.32 USD,+2.33%,823.7 K,0.49,121.29 M USD,—,−0.85 USD,−21.33%,0.00%,Non-energy minerals,—
ABBV,AbbVie Inc.,183.26 USD,+0.39%,4.03 M,0.51,323.71 B USD,78.14,2.35 USD,−30.17%,3.48%,Health technology,Buy
ABCB,Ameris Bancorp,61.22 USD,−0.15%,370.17 K,1.10,4.22 B USD,11.36,5.39 USD,+31.47%,1.14%,Finance,Buy
ABCL,AbCellera Biologics Inc.,1.97 USD,−1.50%,1.73 M,0.35,588.01 M USD,—,−0.57 USD,−12.26%,0.00%,Health technology,Strong buy
ABEO,Abeona Therapeutics Inc.,6.42 USD,−2.43%,957.63 K,0.53,328.43 M USD,—,−1.34 USD,+58.30%,0.00%,Health technology,Strong buy
ABG,Asbury Automotive Group Inc,225.19 USD,−0.63%,137.74 K,1.07,4.43 B USD,10.72,21.01 USD,−23.43%,0.00%,Retail trade,Neutral
ABL,"Abacus Global Management, Inc.",8.17 USD,−0.24%,554.14 K,1.28,781.19 M USD,—,−0.23 USD,−928.47%,0.00%,Finance,Strong buy
ABLV,Able View Global Inc.,1.12 USD,+2.28%,1.41 K,0.12,55.32 M USD,—,−0.17 USD,−361.71%,0.00%,Retail trade,—
ABM,ABM Industries Incorporated,51.05 USD,−0.58%,284.05 K,0.86,3.18 B USD,40.26,1.27 USD,−67.59%,1.92%,Commercial services,Neutral
ABNB,"Airbnb, Inc.",126.72 USD,−0.73%,4.37 M,0.75,79.38 B USD,31.88,3.97 USD,−46.76%,0.00%,Consumer services,Neutral
ABOS,"Acumen Pharmaceuticals, Inc.",1.02 USD,−0.97%,329.6 K,1.70,61.78 M USD,—,−1.93 USD,−82.97%,0.00%,Health technology,Strong buy
ABP,"Abpro Holdings, Inc",0.2120 USD,−7.83%,2.6 M,0.05,12.89 M USD,—,−0.42 USD,−406.80%,0.00%,Finance,Strong buy
ABSI,Absci Corporation,2.66 USD,0.00%,2.03 M,0.55,339.31 M USD,—,−0.93 USD,+20.78%,0.00%,Health technology,Strong buy
ABT,Abbott Laboratories,131.30 USD,−0.15%,6.15 M,0.93,228.44 B USD,17.03,7.71 USD,+140.12%,1.74%,Health technology,Buy
ABTS,Abits Group Inc,3.82 USD,+10.72%,52.9 K,0.06,9.05 M USD,—,−0.38 USD,+92.77%,0.00%,Technology services,—
ABUS,Arbutus Biopharma Corporation,3.22 USD,0.00%,532.47 K,0.65,616.72 M USD,—,−0.40 USD,+8.01%,0.00%,Health technology,Buy
ABVC,"ABVC BioPharma, Inc.",1.15 USD,−4.96%,169.52 K,0.41,19.29 M USD,—,−0.14 USD,+93.72%,0.00%,Health technology,—
ABVE,Above Food Ingredients Inc.,1.34 USD,−10.67%,339.04 K,0.72,38.23 M USD,—,—,—,0.00%,Consumer non-durables,—
AC,"Associated Capital Group, Inc.",38.50 USD,+2.18%,3.31 K,0.92,813.82 M USD,21.44,1.80 USD,+15.60%,0.52%,Finance,—
ACA,"Arcosa, Inc.",84.68 USD,−0.11%,162.87 K,0.74,4.13 B USD,53.12,1.59 USD,−45.32%,0.24%,Producer manufacturing,Strong buy
ACAD,ACADIA Pharmaceuticals Inc.,21.98 USD,+2.00%,1.67 M,0.42,3.68 B USD,16.00,1.37 USD,—,0.00%,Health technology,Buy
